origen,destino,distancia_km
Puno,Cusco,389
Puno,Puerto Maldonado,823
Puno,Arequipa,326
Puno,Moquegua,257
Puno,Tacna,377
Cusco,Puno,389
Cusco,Arequipa,513
Cusco,Abancay,198
Cusco,Ayacucho,597
Cusco,Puerto Maldonado,533
Cusco,Huancayo,915
Cusco,Pucallpa,1890
Arequipa,Puno,326
Arequipa,Cusco,513
Arequipa,Moquegua,220
Arequipa,Abancay,1026
Arequipa,Ica,706
Arequipa,Ayacucho,1094
Moquegua,Arequipa,220
Moquegua,Puno,257
Moquegua,Tacna,158
Tacna,Moquegua,158
Tacna,Puno,377
Puerto Maldonado,Cusco,533
Puerto Maldonado,Puno,823
Puerto Maldonado,Pucallpa,2423
Abancay,Cusco,198
Abancay,Arequipa,1026
Abancay,Ayacucho,399
Ayacucho,Abancay,399
Ayacucho,Cusco,597
Ayacucho,Arequipa,1094
Ayacucho,Huancavelica,245
Ayacucho,Ica,388
Ayacucho,Huancayo,318
Ica,Ayacucho,388
Ica,Huancavelica,340
Ica,Arequipa,706
Ica,Lima,303
Huancavelica,Ayacucho,245
Huancavelica,Ica,340
Huancavelica,Huancayo,147
Huancavelica,Lima,495
Huancayo,Cusco,915
Huancayo,Ayacucho,318
Huancayo,Huancavelica,147
Huancayo,Lima,298
Huancayo,Pucallpa,735
Huancayo,Cerro de Pasco,252
Pucallpa,Huanuco,375
Pucallpa,Cerro de Pasco,483
Pucallpa,Huancayo,735
Pucallpa,Cusco,1890
Pucallpa,Puerto Maldonado,2423
Cerro de Pasco,Huanuco,108
Cerro de Pasco,Lima,302
Cerro de Pasco,Huancayo,252
Cerro de Pasco,Pucallpa,483
Huanuco,Cerro de Pasco,108
Huanuco,Pucallpa,375
Huanuco,Moyobamba,711
Huanuco,Trujillo,971
Huanuco,Huaraz,349
Huanuco,Lima,410
Lima,Ica,303
Lima,Cerro de Pasco,302
Lima,Huancayo,298
Lima,Huaraz,406
Lima,Huanuco,410
Lima,Huancavelica,495
Huaraz,Lima,406
Huaraz,Huanuco,349
Huaraz,Trujillo,340
Moyobamba,Chachapoyas,250
Moyobamba,Trujillo,802
Moyobamba,Huanuco,711
Trujillo,Chiclayo,209
Trujillo,Cajamarca,300
Trujillo,Chachapoyas,658
Trujillo,Moyobamba,802
Trujillo,Huanuco,971
Trujillo,Huaraz,340
Chachapoyas,Cajamarca,335
Chachapoyas,Trujillo,658
Chachapoyas,Moyobamba,250
Cajamarca,Piura,476
Cajamarca,Chiclayo,265
Cajamarca,Trujillo,300
Cajamarca,Chachapoyas,335
Chiclayo,Piura,211
Chiclayo,Cajamarca,265
Chiclayo,Trujillo,300
Piura,Tumbes,278
Piura,Chiclayo,211
Piura,Cajamarca,476
Tumbes,Piura,278
